"MainsetID","PromoterID","GeneID","SpeciesID"
"1","1","1","1"
"2","2","2","1"
"3","3","3","1"
"4","3","4","1"
"5","3","5","1"
"6","3","6","1"
"7","3","7","1"
"8","4","8","1"
"9","5","9","1"
"10","5","10","1"
"11","5","11","1"
"12","5","12","1"
"13","5","13","1"
"14","6","14","1"
"15","6","15","1"
"16","6","16","1"
"17","6","17","1"
"18","7","18","1"
"19","8","19","1"
"20","9","20","1"
"21","10","21","1"
"22","10","22","1"
"23","10","23","1"
"24","10","24","1"
"25","10","25","1"
"26","10","26","1"
"27","11","27","1"
"28","11","28","1"
"29","12","29","1"
"30","13","30","1"
"31","14","31","1"
"32","15","32","1"
"33","15","33","1"
"34","16","34","1"
"35","17","35","1"
"36","17","36","1"
"37","17","37","1"
"38","18","38","1"
"39","18","39","1"
"40","18","40","1"
"41","19","41","1"
"42","19","42","1"
"43","20","43","1"
"44","20","44","1"
"45","20","45","1"
"46","20","46","1"
"47","20","47","1"
"48","21","48","1"
"49","22","49","1"
"50","23","50","1"
"51","24","51","1"
"52","24","52","1"
"53","24","53","1"
"54","24","54","1"
"55","24","55","1"
"56","24","56","1"
"57","24","57","1"
"58","24","58","1"
"59","24","59","1"
"60","25","60","1"
"61","25","61","1"
"62","26","62","1"
"63","26","63","1"
"64","26","64","1"
"65","26","65","1"
"66","26","66","1"
"67","26","67","1"
"68","26","68","1"
"69","26","69","1"
"70","26","70","1"
"71","26","71","1"
"72","26","72","1"
"73","26","73","1"
"74","27","74","1"
"75","27","75","1"
"76","27","76","1"
"77","27","77","1"
"78","27","78","1"
"79","27","79","1"
"80","28","80","1"
"81","29","81","1"
"82","30","82","1"
"83","31","83","1"
"84","32","84","1"
"85","33","85","1"
"86","34","86","1"
"87","35","87","1"
"88","35","88","1"
"89","35","89","1"
"90","35","90","1"
"91","35","91","1"
"92","35","92","1"
"93","36","93","1"
"94","36","94","1"
"95","37","95","1"
"96","38","96","1"
"97","38","97","1"
"98","39","96","1"
"99","39","97","1"
"100","40","98","1"
"101","41","99","1"
"102","42","100","1"
"103","43","101","1"
"104","43","102","1"
"105","43","103","1"
"106","43","104","1"
"107","44","105","1"
"108","44","106","1"
"109","45","107","1"
"110","45","108","1"
"111","45","109","1"
"112","45","110","1"
"113","46","111","1"
"114","46","112","1"
"115","46","113","1"
"116","46","114","1"
"117","46","115","1"
"118","47","116","1"
"119","48","117","1"
"120","49","118","1"
"121","50","119","1"
"122","51","120","1"
"123","52","121","1"
"124","53","122","1"
"125","54","123","1"
"126","54","124","1"
"127","55","125","1"
"128","55","126","1"
"129","56","127","28"
"130","57","128","1"
"131","57","129","1"
"132","57","130","1"
"133","57","131","1"
"134","57","132","1"
"135","57","133","1"
"136","57","134","1"
"137","58","135","1"
"138","59","136","1"
"139","60","137","1"
"140","61","138","1"
"141","62","139","1"
"142","62","140","1"
"143","62","141","1"
"144","63","142","1"
"145","64","143","1"
"146","65","144","1"
"147","66","145","1"
"148","67","146","1"
"149","68","147","1"
"150","69","148","1"
"151","70","149","1"
"152","71","150","1"
"153","71","151","1"
"154","72","152","1"
"155","73","153","1"
"156","74","154","1"
"157","75","155","1"
"158","76","156","1"
"159","76","157","1"
"160","77","158","1"
"161","78","159","1"
"162","78","160","1"
"163","78","161","1"
"164","78","162","1"
"165","79","163","1"
"166","80","164","1"
"167","81","165","1"
"168","82","166","1"
"169","83","167","1"
"170","83","168","1"
"171","84","167","1"
"172","84","168","1"
"173","85","169","1"
"174","86","170","1"
"175","87","171","1"
"176","88","172","1"
"177","89","173","1"
"178","90","174","1"
"179","91","174","1"
"180","92","175","1"
"181","93","176","1"
"182","94","177","1"
"183","95","178","1"
"184","95","179","1"
"185","96","180","2"
"186","97","181","2"
"187","98","182","2"
"188","99","183","2"
"189","100","184","3"
"190","101","185","3"
"191","102","186","4"
"192","103","187","4"
"193","104","188","5"
"194","105","189","5"
"195","106","190","5"
"196","107","191","6"
"197","108","192","6"
"198","109","193","6"
"199","110","194","7"
"200","111","195","7"
"201","112","196","7"
"202","113","197","7"
"203","114","198","7"
"204","115","199","7"
"205","116","200","7"
"206","117","201","7"
"207","118","202","7"
"208","119","203","7"
"209","120","204","7"
"210","121","205","7"
"211","122","206","7"
"212","123","207","8"
"213","124","208","8"
"214","125","209","9"
"215","126","210","9"
"216","127","211","9"
"217","128","212","9"
"218","129","213","9"
"219","130","214","10"
"220","131","215","11"
"221","132","216","11"
"222","133","217","11"
"223","134","218","11"
"224","135","219","11"
"225","136","220","11"
"226","137","221","11"
"227","138","222","11"
"228","139","223","11"
"229","140","224","11"
"230","141","225","12"
"231","142","226","12"
"232","143","227","13"
"233","144","228","14"
"234","145","229","15"
"235","146","230","15"
"236","147","231","16"
"237","148","232","15"
"238","149","233","15"
"239","150","234","15"
"240","151","235","17"
"241","152","236","18"
"242","153","237","19"
"243","154","238","19"
"244","155","239","20"
"245","156","240","21"
"246","157","241","19"
"247","158","242","21"
"248","159","243","21"
"249","160","244","22"
"250","161","245","22"
"251","162","246","23"
"252","163","247","23"
"253","164","248","24"
"254","165","249","25"
"255","166","250","44"
"256","167","251","44"
"257","168","252","44"
"258","169","253","27"
"259","170","254","11"
"260","171","255","1"
"261","172","256","28"
"262","173","257","29"
"263","174","258","1"
"264","175","259","30"
"265","176","260","31"
"266","177","261","32"
"267","178","262","32"
"268","179","263","33"
"269","180","264","32"
"270","181","265","34"
"271","182","266","35"
"272","183","267","36"
"273","184","268","37"
"274","185","269","32"
"275","186","270","38"
"276","187","271","39"
"277","188","272","40"
"278","189","273","41"
"279","190","274","42"
"280","191","275","43"
"281","192","276","43"
"282","193","277","44"
"283","194","278","12"
"284","195","279","45"
"285","196","280","32"
"286","197","281","22"
"287","198","282","46"
"288","199","283","32"
"289","200","284","47"
"300","201","285","47"
"301","202","286","46"
"302","202","287","46"
"303","202","288","46"
"304","202","289","46"
"305","203","290","48"
"306","204","291","22"
"307","205","292","49"
"308","206","293","26"
"309","207","294","32"
"310","208","295","32"
"311","209","296","32"
"312","210","297","32"
